conversation_id	speaker_id	cejc_person_id	gender	age	age_band	age_mid	birthplace	residence	occupation	relationship
SYN_C001	IC01	SYN_P019	F	37		37				
SYN_C001	IC02	SYN_P021	F	31		31				
SYN_C002	IC01	SYN_P049	M	69		69				
SYN_C002	IC02	SYN_P041	M	19		19				
SYN_C003	IC01	SYN_P036	F	23		23				
SYN_C003	IC02	SYN_P011	M	62		62				
SYN_C004	IC01	SYN_P023	M	65		65				
SYN_C004	IC02	SYN_P058	F	34		34				
SYN_C005	IC01	SYN_P039	F	36		36				
SYN_C005	IC02	SYN_P056	F	54		54				
SYN_C006	IC01	SYN_P071	M	18		18				
SYN_C006	IC02	SYN_P067	F	18		18				
SYN_C007	IC01	SYN_P013	M	41		41				
SYN_C007	IC02	SYN_P004	F	68		68				
SYN_C008	IC01	SYN_P011	M	62		62				
SYN_C008	IC02	SYN_P014	F	38		38				
SYN_C009	IC01	SYN_P042	M	47		47				
SYN_C009	IC02	SYN_P027	F	62		62				
SYN_C010	IC01	SYN_P047	M	77		77				
SYN_C010	IC02	SYN_P002	F	36		36				
SYN_C011	IC01	SYN_P064	M	45		45				
SYN_C011	IC02	SYN_P040	F	72		72				
SYN_C012	IC01	SYN_P069	M	22		22				
SYN_C012	IC02	SYN_P016	M	60		60				
SYN_C013	IC01	SYN_P016	M	60		60				
SYN_C013	IC02	SYN_P012	F	30		30				
SYN_C014	IC01	SYN_P032	F	47		47				
SYN_C014	IC02	SYN_P005	M	41		41				
SYN_C015	IC01	SYN_P025	F	31		31				
SYN_C015	IC02	SYN_P033	M	30		30				
SYN_C016	IC01	SYN_P017	F	49		49				
SYN_C016	IC02	SYN_P030	M	60		60				
SYN_C017	IC01	SYN_P017	F	49		49				
SYN_C017	IC02	SYN_P020	M	43		43				
SYN_C018	IC01	SYN_P021	F	31		31				
SYN_C018	IC02	SYN_P002	F	36		36				
SYN_C019	IC01	SYN_P059	M	46		46				
SYN_C019	IC02	SYN_P010	F	54		54				
SYN_C020	IC01	SYN_P065	F	30		30				
SYN_C020	IC02	SYN_P018	F	56		56				
SYN_C021	IC01	SYN_P009	M	57		57				
SYN_C021	IC02	SYN_P003	F	84		84				
SYN_C022	IC01	SYN_P046	F	39		39				
SYN_C022	IC02	SYN_P003	F	84		84				
SYN_C023	IC01	SYN_P014	F	38		38				
SYN_C023	IC02	SYN_P074	F	38		38				
SYN_C024	IC01	SYN_P037	M	57		57				
SYN_C024	IC02	SYN_P063	F	57		57				
SYN_C025	IC01	SYN_P019	F	37		37				
SYN_C025	IC02	SYN_P008	F	37		37				
SYN_C026	IC01	SYN_P034	M	39		39				
SYN_C026	IC02	SYN_P018	F	56		56				
SYN_C027	IC01	SYN_P020	M	43		43				
SYN_C027	IC02	SYN_P015	F	53		53				
SYN_C028	IC01	SYN_P070	M	33		33				
SYN_C028	IC02	SYN_P024	F	39		39				
SYN_C029	IC01	SYN_P019	F	37		37				
SYN_C029	IC02	SYN_P068	M	46		46				
SYN_C030	IC01	SYN_P044	M	60		60				
SYN_C030	IC02	SYN_P001	M	36		36				
SYN_C031	IC01	SYN_P026	M	18		18				
SYN_C031	IC02	SYN_P005	M	41		41				
SYN_C032	IC01	SYN_P061	M	18		18				
SYN_C032	IC02	SYN_P003	F	84		84				
SYN_C033	IC01	SYN_P048	M	26		26				
SYN_C033	IC02	SYN_P072	M	25		25				
SYN_C034	IC01	SYN_P015	F	53		53				
SYN_C034	IC02	SYN_P009	M	57		57				
SYN_C035	IC01	SYN_P001	M	36		36				
SYN_C035	IC02	SYN_P006	F	43		43				
SYN_C036	IC01	SYN_P007	F	27		27				
SYN_C036	IC02	SYN_P028	F	34		34				
SYN_C037	IC01	SYN_P052	M	33		33				
SYN_C037	IC02	SYN_P007	F	27		27				
SYN_C038	IC01	SYN_P001	M	36		36				
SYN_C038	IC02	SYN_P010	F	54		54				
SYN_C039	IC01	SYN_P006	F	43		43				
SYN_C039	IC02	SYN_P057	F	38		38				
SYN_C040	IC01	SYN_P045	M	65		65				
SYN_C040	IC02	SYN_P051	M	55		55				
SYN_C041	IC01	SYN_P014	F	38		38				
SYN_C041	IC02	SYN_P054	F	45		45				
SYN_C042	IC01	SYN_P055	F	38		38				
SYN_C042	IC02	SYN_P062	M	39		39				
SYN_C043	IC01	SYN_P066	M	50		50				
SYN_C043	IC02	SYN_P007	F	27		27				
SYN_C044	IC01	SYN_P022	M	54		54				
SYN_C044	IC02	SYN_P004	F	68		68				
SYN_C045	IC01	SYN_P004	F	68		68				
SYN_C045	IC02	SYN_P020	M	43		43				
SYN_C046	IC01	SYN_P008	F	37		37				
SYN_C046	IC02	SYN_P010	F	54		54				
SYN_C047	IC01	SYN_P022	M	54		54				
SYN_C047	IC02	SYN_P023	M	65		65				
SYN_C048	IC01	SYN_P025	F	31		31				
SYN_C048	IC02	SYN_P011	M	62		62				
SYN_C049	IC01	SYN_P006	F	43		43				
SYN_C049	IC02	SYN_P035	M	31		31				
SYN_C050	IC01	SYN_P053	M	46		46				
SYN_C050	IC02	SYN_P024	F	39		39				
SYN_C051	IC01	SYN_P012	F	30		30				
SYN_C051	IC02	SYN_P038	M	18		18				
SYN_C052	IC01	SYN_P029	F	48		48				
SYN_C052	IC02	SYN_P005	M	41		41				
SYN_C053	IC01	SYN_P013	M	41		41				
SYN_C053	IC02	SYN_P015	F	53		53				
SYN_C054	IC01	SYN_P050	F	56		56				
SYN_C054	IC02	SYN_P031	F	41		41				
SYN_C055	IC01	SYN_P009	M	57		57				
SYN_C056	IC01	SYN_P002	F	36		36				
SYN_C057	IC01	SYN_P008	F	37		37				
SYN_C058	IC01	SYN_P021	F	31		31				
SYN_C059	IC01	SYN_P043	M	72		72				
SYN_C060	IC01	SYN_P060	F	32		32				
SYN_C061	IC01	SYN_P017	F	49		49				
SYN_C062	IC01	SYN_P013	M	41		41				
SYN_C063	IC01	SYN_P012	F	30		30				
SYN_C064	IC01	SYN_P073	M	48		48				
SYN_C065	IC01	SYN_P016	M	60		60				
SYN_C066	IC01	SYN_P018	F	56		56				
